unitid,icon,army,step,datetime,geopos
B01RFG3B,5,3,47,1815-06-16T23:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,48,1815-06-17T00:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,48,1815-06-17T00:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,49,1815-06-17T01:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,49,1815-06-17T01:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,50,1815-06-17T02:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,50,1815-06-17T02:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,51,1815-06-17T03:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,51,1815-06-17T03:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,52,1815-06-17T04:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,52,1815-06-17T04:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,53,1815-06-17T05:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,53,1815-06-17T05:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,54,1815-06-17T06:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,54,1815-06-17T06:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,55,1815-06-17T07:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,55,1815-06-17T07:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,56,1815-06-17T08:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,56,1815-06-17T08:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,57,1815-06-17T09:00:00Z,"4.444, 50.5602"
B01RFG3B,5,3,57,1815-06-17T09:00:00Z,"4.4337, 50.5574"
B01RFG3B,5,3,66,1815-06-17T18:00:00Z,"4.3954, 50.6734"
B01RFG3B,5,3,67,1815-06-17T19:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,68,1815-06-17T20:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,69,1815-06-17T21:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,70,1815-06-17T22:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,71,1815-06-17T23:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,72,1815-06-18T00:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,73,1815-06-18T01:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,74,1815-06-18T02:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,75,1815-06-18T03:00:00Z,"4.3949, 50.6707"
B01RFG3B,5,3,76,1815-06-18T04:00:00Z,"4.3949, 50.6707"
B02KLG,5,3,68,1815-06-17T20:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,69,1815-06-17T21:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,70,1815-06-17T22:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,71,1815-06-17T23:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,72,1815-06-18T00:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,73,1815-06-18T01:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,74,1815-06-18T02:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,75,1815-06-18T03:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,76,1815-06-18T04:00:00Z,"4.4087, 50.6782"
B02KLG,5,3,77,1815-06-18T05:00:00Z,"4.4091, 50.6783"
B02KLG,5,3,78,1815-06-18T06:00:00Z,"4.4095, 50.6784"
B02KLG,5,3,79,1815-06-18T07:00:00Z,"4.4098, 50.6785"
B02KLG,5,3,80,1815-06-18T08:00:00Z,"4.4102, 50.6786"
B02KLG,5,3,81,1815-06-18T09:00:00Z,"4.4106, 50.6786"
B02KLG,5,3,82,1815-06-18T10:00:00Z,"4.411, 50.6787"
B02KLG,5,3,83,1815-06-18T11:00:00Z,"4.411, 50.6787"
B02KLG,5,3,84,1815-06-18T12:00:00Z,"4.411, 50.6787"
B02KLG,5,3,85,1815-06-18T13:00:00Z,"4.411, 50.6787"
B02KLG,5,3,86,1815-06-18T14:00:00Z,"4.411, 50.6787"
B02KLG,5,3,87,1815-06-18T15:00:00Z,"4.411, 50.6787"
B02KLG,5,3,88,1815-06-18T16:00:00Z,"4.411, 50.6787"
B02RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4476, 50.5709"
B02RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,49,1815-06-17T01:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,49,1815-06-17T01:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,50,1815-06-17T02:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,50,1815-06-17T02:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,51,1815-06-17T03:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,51,1815-06-17T03:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,52,1815-06-17T04:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,52,1815-06-17T04:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,53,1815-06-17T05:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,53,1815-06-17T05:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,54,1815-06-17T06:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,54,1815-06-17T06:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,55,1815-06-17T07:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,55,1815-06-17T07:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,56,1815-06-17T08:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,56,1815-06-17T08:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,57,1815-06-17T09:00:00Z,"4.4385, 50.5607"
B02RFG2B,5,3,57,1815-06-17T09:00:00Z,"4.4349, 50.576"
B02RFG2B,5,3,66,1815-06-17T18:00:00Z,"4.3946, 50.6749"
B02RFG2B,5,3,67,1815-06-17T19:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,68,1815-06-17T20:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,69,1815-06-17T21:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,70,1815-06-17T22:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,71,1815-06-17T23:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,72,1815-06-18T00:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,73,1815-06-18T01:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,74,1815-06-18T02:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,75,1815-06-18T03:00:00Z,"4.3935, 50.671"
B02RFG2B,5,3,76,1815-06-18T04:00:00Z,"4.3935, 50.671"
B03RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4476, 50.5699"
B03RFG2B,5,3,43,1815-06-16T19:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,44,1815-06-16T20:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,45,1815-06-16T21:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,46,1815-06-16T22:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,47,1815-06-16T23:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.4385, 50.5597"
B03RFG2B,5,3,48,1815-06-17T00:00:00Z,"4.4417, 50.5752"
B03RFG2B,5,3,49,1815-06-17T01:00:00Z,"4.4385, 50.5597"
