"unit_id","person_id","role_id","source"
1074,403,59,1
234,662,59,1
234,554,64,1
234,646,87,1
109,392,59,1
109,437,64,1
51,76,59,1
506,97,59,1
507,664,59,1
52,151,59,1
508,228,59,1
509,191,59,1
956,137,59,1
957,685,59,1
958,482,59,1
959,128,59,1
1075,142,59,1
110,308,59,1
110,552,64,1
53,256,59,1
510,460,59,1
511,56,59,1
54,199,59,1
512,220,59,1
513,449,59,1
960,623,59,1
961,278,59,1
962,388,59,1
1097,398,59,1
1076,459,59,1
111,71,59,1
111,391,64,1
55,195,59,1
514,66,59,1
515,171,59,1
56,372,59,1
516,430,59,1
517,508,59,1
963,389,59,1
964,139,59,1
1098,474,59,1
1077,154,59,1
173,183,59,1
173,448,64,1
138,182,59,1
785,177,59,1
786,726,59,1
139,669,59,1
787,706,59,1
965,198,59,1
966,15,59,1
205,186,59,1
205,396,64,1
967,670,59,1
968,401,59,1
218,476,59,1
218,637,64,1
235,279,59,1
235,603,64,1
235,614,87,1
112,526,59,1
112,13,64,1
57,563,59,1
518,551,59,1
519,266,59,1
58,610,59,1
520,383,59,1
521,255,59,1
969,223,59,1
970,89,59,1
113,667,59,1
113,235,64,1
59,385,59,1
522,381,59,1
523,148,59,1
60,178,59,1
524,527,59,1
525,316,59,1
971,602,59,1
972,638,59,1
1078,98,59,1
114,95,59,1
114,145,64,1
61,327,59,1
526,65,59,1
527,604,59,1
62,642,59,1
528,503,59,1
529,382,59,1
973,12,59,1
974,483,59,1
1079,525,59,1
174,447,59,1
174,446,64,1
140,660,59,1
788,606,59,1
789,609,59,1
141,70,59,1
790,464,59,1
791,229,59,1
975,641,59,1
976,473,59,1
207,58,59,1
207,550,64,1
977,232,59,1
978,549,59,1
219,658,59,1
219,438,64,1
1080,462,59,1
1081,406,59,1
237,461,59,1
237,202,64,1
237,341,87,1
115,613,59,1
115,343,64,1
63,695,59,1
530,568,59,1
531,16,59,1
64,340,59,1
532,252,59,1
533,140,59,1
979,506,59,1
980,379,59,1
981,480,59,1
1082,227,59,1
116,342,59,1
116,371,64,1
65,86,59,1
535,157,59,1
536,565,59,1
66,87,59,1
537,167,59,1
538,190,59,1
982,504,59,1
983,377,59,1
1083,214,59,1
117,635,59,1
117,68,64,1
67,370,59,1
539,555,59,1
68,511,59,1
540,90,59,1
541,444,59,1
984,204,59,1
985,213,59,1
1084,225,59,1
209,481,59,1
209,136,64,1
986,147,59,1
987,520,59,1
1085,601,59,1
1085,149,64,1
239,705,59,1
239,384,64,1
240,501,59,1
240,518,64,1
175,619,59,1
142,320,59,1
792,144,59,1
793,78,59,1
143,14,59,1
794,405,59,1
988,265,59,1
989,395,59,1
176,626,59,1
144,697,59,1
795,336,59,1
796,620,59,1
145,452,59,1
797,478,59,1
990,681,59,1
991,622,59,1
241,215,59,1
241,224,64,1
177,625,59,1
146,104,59,1
798,125,59,1
799,605,59,1
147,668,59,1
800,129,59,1
801,99,59,1
992,263,59,1
993,324,59,1
178,135,59,1
148,84,59,1
802,91,59,1
803,103,59,1
149,72,59,1
804,627,59,1
805,368,59,1
994,69,59,1
995,465,59,1
242,355,59,1
242,634,64,1
179,404,59,1
179,617,64,1
150,519,59,1
806,522,59,1
807,407,59,1
151,275,59,1
808,249,59,1
809,155,59,1
996,715,59,1
997,200,59,1
180,566,59,1
152,77,59,1
810,562,59,1
811,74,59,1
153,184,59,1
812,270,59,1
813,711,59,1
998,387,59,1
999,450,59,1
243,456,59,1
243,134,64,1
181,682,59,1
154,192,59,1
814,484,59,1
815,309,59,1
155,644,59,1
816,556,59,1
817,639,59,1
1000,653,59,1
1001,516,59,1
182,173,59,1
182,394,64,1
156,665,59,1
818,261,59,1
819,373,59,1
157,221,59,1
820,441,59,1
821,75,59,1
1002,335,59,1
1003,260,59,1
244,32,55,1
1096,468,59,1
245,901,59,1
69,871,59,1
542,833,59,1
546,806,59,1
550,851,59,1
554,791,59,1
1004,573,59,1
1005,542,59,1
70,837,59,1
556,797,59,1
560,528,59,1
564,893,59,1
1006,829,59,1
71,793,59,1
568,868,59,1
572,792,59,1
576,217,59,1
580,852,59,1
1007,296,59,1
72,293,59,1
582,529,59,1
586,866,59,1
590,782,59,1
1008,742,59,1
119,848,59,1
158,880,59,1
822,886,59,1
823,897,59,1
824,774,59,1
825,873,59,1
1009,753,59,1
159,818,59,1
826,779,59,1
827,796,59,1
828,679,59,1
829,38,59,1
210,809,59,1
1010,305,59,1
1011,584,59,1
1012,538,59,1
1013,301,59,1
1014,655,59,1
1015,574,59,1
1016,490,59,1
1017,850,59,1
1018,629,59,1
1019,805,59,1
1086,239,59,1
249,836,59,1
73,878,59,1
594,766,59,1
598,834,59,1
602,846,59,1
606,423,59,1
1020,410,59,1
74,801,59,1
607,861,59,1
611,845,59,1
615,748,59,1
1021,418,59,1
75,758,59,1
318,823,59,1
620,855,59,1
624,842,59,1
1022,360,59,1
76,755,59,1
628,843,59,1
632,892,59,1
636,839,59,1
1023,47,59,1
120,884,59,1
160,877,59,1
834,794,59,1
835,752,59,1
836,862,59,1
837,331,59,1
161,869,59,1
838,800,59,1
839,744,59,1
840,759,59,1
162,864,59,1
841,859,59,1
842,881,59,1
843,689,59,1
211,359,59,1
1024,416,59,1
1025,333,59,1
1026,831,59,1
1027,676,59,1
1028,218,59,1
1029,786,59,1
1030,593,59,1
1031,822,59,1
1032,882,59,1
252,876,59,1
77,751,59,1
640,790,59,1
644,769,59,1
648,879,59,1
1033,572,59,1
78,803,59,1
652,827,59,1
656,491,59,1
660,746,59,1
1034,885,59,1
79,854,59,1
668,903,59,1
672,754,59,1
1035,31,59,1
80,815,59,1
676,798,59,1
680,889,59,1
684,849,59,1
847,900,59,1
1036,650,59,1
121,789,59,1
163,819,59,1
849,841,59,1
850,771,59,1
851,777,59,1
852,847,59,1
164,817,59,1
853,888,59,1
854,785,59,1
855,824,59,1
1037,656,59,1
212,781,59,1
1038,20,59,1
1039,364,59,1
1040,160,59,1
1041,579,59,1
1042,496,59,1
1043,581,59,1
1087,412,59,1
1088,899,59,1
256,105,59,1
81,784,59,1
688,811,59,1
692,858,59,1
696,757,59,1
856,472,59,1
1044,351,59,1
82,853,59,1
700,780,59,1
704,756,59,1
708,835,59,1
857,807,59,1
1045,413,59,1
83,816,59,1
712,814,59,1
716,802,59,1
720,820,59,1
858,776,59,1
1046,294,59,1
84,788,59,1
724,768,59,1
728,778,59,1
732,750,59,1
859,741,59,1
1047,580,59,1
122,246,59,1
165,867,59,1
860,773,59,1
861,808,59,1
862,25,59,1
1048,902,59,1
166,887,59,1
865,826,59,1
866,767,59,1
1049,488,59,1
167,875,59,1
867,874,59,1
868,787,59,1
869,749,59,1
870,795,59,1
871,856,59,1
213,745,59,1
1050,576,59,1
1051,118,59,1
1052,678,59,1
1053,821,59,1
1054,36,59,1
1055,361,59,1
1056,304,59,1
1057,810,59,1
1089,466,59,1
